id,poem
10,"Побеждена, но не рабыня,
Стоишь ты гордо без доспех,
Осквернена твоя святыня,
Зато душа чиста, как снег.
Кровавый пир в дыму пожара
Устроил грозный сатана,
И под мечом его удара
Разбита храбрая страна.
Но дух свободный, дух могучий
Великих сил не угасил,
Он, как орел, парит за тучей
Над цепью доблестных могил.
И жребий правды совершится:
Падет твой враг к твоим ногам
И будет с горестью молиться
Твоим разбитым алтарям."
11,"Белая береза
Под моим окном
Принакрылась снегом,
Точно серебром.

На пушистых ветках
Снежною каймой
Распустились кисти
Белой бахромой.

И стоит береза
В сонной тишине,
И горят снежинки
В золотом огне.

А заря, лениво
Обходя кругом,
обсыпает ветки
Новым серебром."
12,"Грянул гром. Чашка неба расколота.
Разорвалися тучи тесные.
На подвесках из легкого золота
Закачались лампадки небесные.
Отворили ангелы окно высокое,
Видят - умирает тучка безглавая,
А с запада, как лента широкая,
Подымается заря кровавая.
Догадалися слуги божии,
Что недаром земля просыпается,
Видно, мол, немцы негожие
Войной на мужика подымаются.
Сказали ангелы солнышку:
""Разбуди поди мужика, красное,
Потрепи его за головушку,
Дескать, беда для тебя опасная"".
Встал мужик, из ковша умывается,
Ласково беседует с домашней птицею,
Умывшись, в лапти наряжается
И достает сошники с палицею.
Думает мужик дорогой в кузницу:
""Проучу я харю поганую"".
И на ходу со злобы тужится,
Скидает с плечей сермягу рваную.
Сделал кузнец мужику пику вострую,
И уселся мужик на клячу брыкучую.
Едет он дорогой пестрою,
Насвистывает песню могучую,
Выбирает мужик дорожку приметнее,
Едет, свистит, ухмыляется,
Видят немцы - задрожали дубы столетние,
На дубах от свиста листы валятся.
Побросали немцы шапки медные,
Испугались посвисту богатырского...
Правит Русь праздники победные,
Гудит земля от звона монастырского."
13,"Тяжело и прискорбно мне видеть,
Как мой брат погибает родной.
И стараюсь я всех ненавидеть,
Кто враждует с его тишиной.

Посмотри, как он трудится в поле,
Пашет твердую землю сохой,
И послушай ты песни про горе,
Что поет он, идя бороздой.

Или нет в тебе жалости нежной
Ко страдальцу сохи с бороной?
Видишь гибель ты сам неизбежной,
А проходишь его стороной.

Помоги же бороться с неволей,
Залитою вином, и с нуждой!
Иль не слышишь, он плачется долей
В своей песне, идя бороздой?"
14,"Дрогнули листочки, закачались клены,
С золотистых веток полетела пыль...
Зашумели ветры, охнул лес зеленый,
Зашептался с эхом высохший ковыль...

Плачет у окошка пасмурная буря,
Понагнулись ветлы к мутномы стеклу,
И качают ветки, голову понуря,
И с тоской угрюмой смотрят в полумглу...

А вдали, чернея, выползают тучи,
И ревет сердито грозная река,
Подымают брызги водяные кручи,
Словно мечет землю сильная рука."
15,"Быть поэтом — это значит то же,
Если правды жизни не нарушить,
Рубцевать себя по нежной коже,
Кровью чувств ласкать чужие души.

Быть поэтом — значит петь раздолье,
Чтобы было для тебя известней.
Соловей поет — ему не больно,
У него одна и та же песня.

Канарейка с голоса чужого —
Жалкая, смешная побрякушка.
Миру нужно песенное слово
Петь по-свойски, даже как лягушка.

Магомет перехитрил в коране,
Запрещая крепкие напитки,
Потому поэт не перестанет
Пить вино, когда идет на пытки.

И когда поэт идет к любимой,
А любимая с другим лежит на ложе,
Влагою живительной хранимый,
Он ей в сердце не запустит ножик.

Но, горя ревнивою отвагой,
Будет вслух насвистывать до дома:
«Ну и что ж, помру себе бродягой,
На земле и это нам знакомо»."
16,"В багровом зареве закат шипуч и пенен,
Березки белые горят в своих венцах.
Приветствует мой стих младых царевен
И кротость юную в их ласковых сердцах.

Где тени бледные и горестные муки,
Они тому, кто шел страдать за нас,
Протягивают царственные руки,
Благословляя их к грядущей жизни час.

На ложе белом, в ярком блеске света,
Рыдает тот, чью жизнь хотят вернуть...
И вздрагивают стены лазарета
От жалости, что им сжимает грудь.

Все ближе тянет их рукой неодолимой
Туда, где скорбь кладет печать на лбу.
О, помолись, святая Магдалина,
За их судьбу."
17,"   Мальвине Мироновне

В глазах пески зеленые
И облака.
По кружеву крапленому
Скользит рука.

То близкая, то дальняя,
И так всегда.
Судьба ее печальная -
Моя беда.
"
18,"В зеленой церкви за горой,
Где вербы четки уронили,
Я поминаю просфорой
Младой весны младые были.

А ты, склонившаяся ниц,
Передо мной стоишь незримо,
Шелка опущенных ресниц
Колышут крылья херувима.

Не омрачен твой белый рок
Твоей застывшею порою,
Все тот же розовый платок
Затянут смуглою рукою.

Все тот же вздох упруго жмет
Твои надломленные плечи
О том, кто за морем живет
И кто от родины далече.

И все тягуче память дня
Перед пристойным ликом жизни.
О, помолись и за меня,
За бесприютного в отчизне!
"
19,"В лунном кружеве украдкой
Ловит призраки долина.
На божнице за лампадкой
Улыбнулась Магдалина.

Кто-то дерзкий, непокорный,
Позавидовал улыбке.
Вспучил бельма вечер черный,
И луна — как в белой зыбке.

Разыгралась тройка-вьюга,
Брызжет пот, холодный, терпкий,
И плакучая лещуга
Лезет к ветру на закорки.

Смерть в потемках точит бритву...
Вон уж плачет Магдалина.
Помяни мою молитву
Тот, кто ходит по долинам."
20,"В том краю, где желтая крапива
И сухой плетень,
Приютились к вербам сиротливо
Избы деревень.

Там в полях, за синей гущей лога,
В зелени озер,
Пролегла песчаная дорога
До сибирских гор.

Затерялась Русь в Мордве и Чуди,
Нипочем ей страх.
И идут по той дороге люди,
Люди в кандалах.

Все они убийцы или воры,
Как судил им рок.
Полюбил я грустные их взоры
С впадинами щек.

Много зла от радости в убийцах,
Их сердца просты,
Но кривятся в почернелых лицах
Голубые рты.

Я одну мечту, скрывая, нежу,
Что я сердцем чист.
Но и я кого-нибудь зарежу
Под осенний свист.

И меня по ветряному свею,
По тому ль песку,
Поведут с веревкою на шее
Полюбить тоску.

И когда с улыбкой мимоходом
Распрямлю я грудь,
Языком залижет непогода
Прожитой мой путь."
21,"Пахнет рыхлыми драченами;
У порога в дежке квас,
Над печурками точеными
Тараканы лезут в паз.

Вьется сажа над заслонкою,
В печке нитки попелиц,
А на лавке за солонкою -
Шелуха сырых яиц.

Мать с ухватами не сладится,
Нагибается низко,
Старый кот к махотке крадется
На парное молоко.

Квохчут куры беспокойные
Над оглоблями сохи,
На дворе обедню стройную
Запевают петухи.

А в окне на сени скатые,
От пугливой шумоты,
Из углов щенки кудлатые
Заползают в хомуты."
22,"В Хороссане есть такие двери,
Где обсыпан розами порог.
Там живет задумчивая пери.
В Хороссане есть такие двери,
Но открыть те двери я не мог.

У меня в руках довольно силы,
В волосах есть золото и медь.
Голос пери нежный и красивый.
У меня в руках довольно силы,
Но дверей не смог я отпереть.

Ни к чему в любви моей отвага.
И зачем? Кому мне песни петь?-
Если стала неревнивой Шага,
Коль дверей не смог я отпереть,
Ни к чему в любви моей отвага.

Мне пора обратно ехать в Русь.
Персия! Тебя ли покидаю?
Навсегда ль с тобою расстаюсь
Из любви к родимому мне краю?
Мне пора обратно ехать в Русь.

До свиданья, пери, до свиданья,
Пусть не смог я двери отпереть,
Ты дала красивое страданье,
Про тебя на родине мне петь.
До свиданья, пери, до свиданья."
23,"В час, когда ночь воткнет
Луну на черный палец, -
Ах, о ком? Ах, кому поет
Про любовь соловей-мерзавец?

Разве можно теперь любить,
Когда в сердце стирают зверя?
Мы идем, мы идем продолбить
Новые двери.

К черту чувства. Слова в навоз,
Только образ и мощь порыва!
Что нам солнце? Весь звездный обоз -
Золотая струя коллектива.

Что нам Индия? Что Толстой?
Этот ветер что был, что не был.
Нынче мужик простой
Пялится ширьше неба."
24,"               Сестре Шуре

В этом мире я только прохожий,
Ты махни мне веселой рукой.
У осеннего месяца тоже
Свет ласкающий, тихий такой.

В первый раз я от месяца греюсь,
В первый раз от прохлады согрет,
И опять и живу и надеюсь
На любовь, которой уж нет.

Это сделала наша равнинность,
Посоленная белью песка,
И измятая чья-то невинность,
И кому-то родная тоска.

Потому и навеки не скрою,
Что любить не отдельно, не врозь —
Нам одною любовью с тобою
Эту родину привелось."
25,"Тихо струится река серебристая
В царстве вечернем зеленой весны.
Солнце садится за горы лесистые.
Рог золотой выплывает луны.

Запад подернулся лентою розовой,
Пахарь вернулся в избушку с полей,
И за дорогою в чаще березовой
Песню любви затянул соловей.

Слушает ласково песни глубокие
С запада розовой лентой заря.
С нежностью смотрит на звезды далекие
И улыбается небу земля."
26,"Весна на радость не похожа,
И не от солнца желт песок.
Твоя обветренная кожа
Лучила гречневый пушок.

У голубого водопоя
На шишкоперой лебеде
Мы поклялись, что будем двое
И не расстанемся нигде.

Кадила темь, и вечер тощий
Свивался в огненной резьбе,
Я проводил тебя до рощи,
К твоей родительской избе.

И долго-долго в дреме зыбкой
Я оторвать не мог лица,
Когда ты с ласковой улыбкой
Махал мне шапкою с крыльца."
27,"Припадок кончен.
Грусть в опале.
Приемлю жизнь, как первый сон.
Вчера прочел я в ""Капитале"",
Что для поэтов -
Свой закон.

Метель теперь
Хоть чертом вой,
Стучись утопленником голым, -
Я с отрезвевшей головой
Товарищ бодрым и веселым.

Гнилых нам нечего жалеть,
Да и меня жалеть не нужно,
Коль мог покорно умереть
Я в этой завирухе вьюжной.

Тинь-тинь, синица!
Добрый день!
Не бойся!
Я тебя не трону.
И коль угодно,
На плетень
Садись по птичьему закону.

Закон вращенья в мире есть,
Он - отношенье
Средь живущих.
Коль ты с людьми единой кущи, -
Имеешь право
Лечь и сесть.

Привет тебе,
Мой бедный клен!
Прости, что я тебя обидел.
Твоя одежда в рваном виде,
Но будешь
Новой наделен.

Без ордера тебе апрель
Зеленую отпустит шапку,
И тихо
В нежную охапку
Тебя обнимет повитель.

И выйдет девушка к тебе,
Водой окатит из колодца,
Чтобы в суровом октябре
Ты мог с метелями бороться.

А ночью
Выплывет луна.
Ее не слопали собаки:
Она была лишь не видна
Из-за людской
Кровавой драки.

Но драка кончилась...
И вот -
Она своим лимонным светом
Деревьям, в зелень разодетым,
Сиянье звучное
Польет.

Так пей же, грудь моя,
Весну!
Волнуйся новыми
Стихами!
Я нынче, отходя ко сну,
Не поругаюсь
С петухами.

Земля, земля!
Ты не металл, -
Металл ведь
Не пускает почку.
Достаточно попасть
На строчку,
И вдруг -
Понятен ""Капитал""."
28,"Ветры, ветры, о снежные ветры,
Заметите мою прошлую жизнь.
Я хочу быть отроком светлым
Иль цветком с луговой межи.

Я хочу под гудок пастуший
Умереть для себя и для всех.
Колокольчики звездные в уши
Насыпает вечерний снег.

Хороша бестуманная трель его,
Когда топит он боль в пурге.
Я хотел бы стоять, как дерево,
При дороге на одной ноге.

Я хотел бы под конские храпы
Обниматься с соседним кустом.
Подымайте ж вы, лунные лапы,
Мою грусть в небеса ведром."
29,"Вечер черные брови насопил.
Чьи-то кони стоят у двора.
Не вчера ли я молодость пропил?
Разлюбил ли тебя не вчера?

Не храпи, запоздалая тройка!
Наша жизнь пронеслась без следа.
Может, завтра больничная койка
Упокоит меня навсегда.

Может, завтра совсем по-другому
Я уйду, исцеленный навек,
Слушать песни дождей и черемух,
Чем здоровый живет человек.

Позабуду я мрачные силы,
Что терзали меня, губя.
Облик ласковый! Облик милый!
Лишь одну не забуду тебя.

Пусть я буду любить другую,
Но и с нею, с любимой, с другой,
Расскажу про тебя, дорогую,
Что когда-то я звал дорогой.

Расскажу, как текла былая
Наша жизнь, что былой не была...
Голова ль ты моя удалая,
До чего ж ты меня довела?"
30,"Вечер, как сажа,
Льется в окно.
Белая пряжа
Ткет полотно.

Пляшет гасница,
Прыгает тень.
В окна стучится
Старый плетень.

Липнет к окошку
Черная гать.
Девочку-крошку
Байкает мать.

Взрыкает зыбка
Сонный тропарь:
""Спи, моя рыбка,
Спи, не гутарь""."
31,"Вечером синим, вечером лунным
Был я когда-то красивым и юным.

Неудержимо, неповторимо
Все пролетело. далече.. мимо...

Сердце остыло, и выцвели очи...
Синее счастье! Лунные ночи!"
32,"Видно, так заведено навеки —
К тридцати годам перебесясь,
Все сильней, прожженные калеки,
С жизнью мы удерживаем связь.

Милая, мне скоро стукнет тридцать,
И земля милей мне с каждым днем.
Оттого и сердцу стало сниться,
Что горю я розовым огнем.

Коль гореть, так уж гореть сгорая,
И недаром в липовую цветь
Вынул я кольцо у попугая —
Знак того, что вместе нам сгореть.

То кольцо надела мне цыганка.
Сняв с руки, я дал его тебе,
И теперь, когда грустит шарманка,
Не могу не думать, не робеть.

В голове болотный бродит омут,
И на сердце изморозь и мгла:
Может быть, кому-нибудь другому
Ты его со смехом отдала?

Может быть, целуясь до рассвета,
Он тебя расспрашивает сам,
Как смешного, глупого поэта
Привела ты к чувственным стихам.

Ну, и что ж! Пройдет и эта рана.
Только горько видеть жизни край.
В первый раз такого хулигана
Обманул проклятый попугай."
33,"Вижу сон. Дорога черная.
Белый конь. Стопа упорная.
И на этом на коне
Едет милая ко мне.
Едет, едет милая,
Только нелюбимая.

Эх, береза русская!
Путь-дорога узкая.
Эту милую, как сон,
Лишь для той, в кого влюблен,
Удержи ты ветками,
Как руками меткими.

Светит месяц. Синь и сонь.
Хорошо копытит конь.
Свет такой таинственный,
Словно для единственной —
Той, в которой тот же свет
И которой в мире нет.

Хулиган я, хулиган.
От стихов дурак и пьян.
Но и все ж за эту прыть,
Чтобы сердцем не остыть,
За березовую Русь
С нелюбимой помирюсь."
34,"Я посетил родимые места,
Ту сельщину,
Где жил мальчишкой,
Где каланчой с березовою вышкой
Взметнулась колокольня без креста.

Как много изменилось там,
В их бедном неприглядном быте.
Какое множество открытий
За мною следовало по пятам.

Отцовский дом
Не мог я распознать;
Приметный клен уж под окном не машет,
И на крылечке не сидит уж мать,
Кормя цыплят крупитчатою кашей.

Стара, должно быть, стала...
Да, стара.
Я с грустью озираюсь на окрестность:
Какая незнакомая мне местность:
Одна, как прежняя, белеется гора,
Да у горы
Высокий серый камень.

Здесь кладбище!
Подгнившие кресты,
Как будто в рукопашной мертвецы,
Застыли с распростертыми руками.
По тропке, опершись на подожок,
Идет старик, сметая пыль с бурьяна.
«Прохожий!
Укажи, дружок,
Где тут живет Есенина Татьяна?»

«Татьяна... Гм...
Да вон за той избой.
А ты ей что?
Сродни?
Аль, может, сын пропащий?»

«Да, сын.
Но что, старик, с тобой?
Скажи мне,
Отчего ты так глядишь скорбяще?»

«Добро, мой внук,
Добро, что не узнал ты деда!..»
«Ах, дедушка, ужели это ты?»
И полилась печальная беседа
Слезами теплыми на пыльные цветы.
..................

«Тебе, пожалуй, скоро будет тридцать...
А мне уж девяносто...
Скоро в гроб.
Давно пора бы было воротиться», —
Он говорит, а сам все морщит лоб.
«Да!.. Время!..
Ты не коммунист?»
«Нет!..»
«А сестры стали комсомолки.
Такая гадость! Просто удавись!
Вчера иконы выбросили с полки,
На церкви комиссар снял крест.
Теперь и Богу негде помолиться.
Уж я хожу украдкой нынче в лес,
Молюсь осинам...
Может, пригодится...

Пойдем домой —
Ты все увидишь сам».
И мы идем, топча межой кукольни.
Я улыбаюсь пашням и лесам,
А дед с тоской глядит на колокольню.
..................
..................
«Здорово, мать! Здорово!» —
И я опять тяну к глазам платок.
Тут разрыдаться может и корова,
Глядя на этот бедный уголок.

На стенке календарный Ленин.
Здесь жизнь сестер,
Сестер, а не моя, —
Но все ж готов упасть я на колени,
Увидев вас, любимые края.

Пришли соседи...
Женщина с ребенком.
Уже никто меня не узнает.
По-байроновски наша собачонка
Меня встречала с лаем у ворот.

Ах, милый край!
Не тот ты стал,
Не тот.
Да уж и я, конечно, стал не прежний.
Чем мать и дед грустней и безнадежней,
Тем веселей сестры смеется рот.

Конечно, мне и Ленин не икона,
Я знаю мир...
Люблю мою семью...
Но отчего-то все-таки с поклоном
Сажусь на деревянную скамью.

«Ну, говори, сестра!»

И вот сестра разводит,
Раскрыв, как Библию, пузатый «Капитал»,
О Марксе,
Энгельсе...
Ни при какой погоде
Я этих книг, конечно, не читал.

И мне смешно,
Как шустрая девчонка
Меня во всем за шиворот берет...
................
................
По-байроновски наша собачонка
Меня встречала с лаем у ворот. "
35,"Воздух прозрачный и синий,
Выйду в цветочные чащи.
Путник, в лазурь уходящий,
Ты не дойдешь до пустыни.
Воздух прозрачный и синий.

Лугом пройдешь, как садом,
Садом - в цветенье диком,
Ты не удержишься взглядом,
Чтоб не припасть к гвоздикам.
Лугом пройдешь, как садом.

Шепот ли, шорох иль шелест -
Нежность, как песни Саади.
Вмиг отразится во взгляде
Месяца желтая прелесть
Нежность, как песни Саади.

Голос раздастся пери,
Тихий, как флейта Гассана.
В крепких объятиях стана
Нет ни тревог, ни потери,
Только лишь флейта Гассана.

Вот он, удел желанный
Всех, кто в пути устали.
Ветер благоуханный
Пью я сухими устами,
Ветер благоуханный.
"
36,"За окном, у ворот
Вьюга завывает,
А на печке старик
Юность вспоминает.

""Эх, была-де пора,
Жил, тоски не зная,
Лишь кутил да гулял,
Песни распевая.

А теперь что за жизнь?
В тоске изнываю
И порой о тех днях
С грустью вспоминаю.

Погулял на веку,
Говорят, довольно.
Размахнуть старину
Не дают раздолья.

Полно, дескать, старик,
Не дури ты много,
Твой конец не велик,
Жизнь твоя у гроба.

Ну и что ж, покорюсь, -
Видно, моя доля.
Придет им тоже час
Старческого горя"".

За окном, у ворот
Вьюга завывает,
А на печке старик
С грустью засыпает."
