id,poem
10,"Не говори! Меня он как и прежде любит,
Мной, как и прежде дорожит...
О нет! Он жизнь мою бесчеловечно губит,
Хоть, вижу, нож в его руке дрожит.

То в гневе, то в слезах, тоскуя, негодуя,
Увлечена, в душе уязвлена,
Я стражду, не живу... им, им одним живу я -
Но эта жизнь!.. о, как горька она!

Он мерит воздух мне так бережно и скудно,
Не мерят так и лютому врагу...
Ох, я дышу еще болезненно и трудно,
Могу дышать, но жить уж не могу!"
11,"Ах, душечка моя, как нынче мне светло!
Смотрю и слушаю, — от сердца отлегло, 

День хмурый не томит и не гнетет нимало: 
Твой чистый голосок звенит мне, как бывало, 

Вот песня милая, младенчески проста, 
Тебе сама собой приходит на уста; 

Ребячьей резвости не ищешь выраженья, 
А словно хоровод твои ведет движенья, 

И жизнью солнечной живешь сейчас вполне —
И так улыбкою одною светишь мне, 

Что счастие твое святою детской силой 
Всю жизнь мне делает желанною и милой."
12,"      О ты, которая была
      Утех и радостей душою!
      Как роза некогда цвела
      Небесной красотою;
Теперь оставлена, печальна и одна,
      Сидя смиренно у окна,
Без песней, без похвал встречаешь день рожденья;
Прими от дружества сердечны сожаленья,
      Прими и сердце успокой.
Что потеряла ты? Льстецов бездушных рой,
Пугалищей ума, достоинства и нравов;
Судей безжалостных, докучливых нахалов.
Один был нежный друг… и он ещё с тобой!"
13,"Не как люди, не еженедельно.
Не всегда, в столетье раза два
Я молил тебя: членораздельно
Повтори творящие слова.

И тебе ж невыносимы смеси
Откровений и людских неволь.
Как же хочешь ты, чтоб я был весел,
С чем бы стал ты есть земную соль?"
14,"На замечанье Феб дает,
Что от каких-то вод
Парнасский весь народ
Шумит, кричит и дело забывает,
И потому он объявляет,
Что толки все о Липецких водах
(В укору, в похвалу, и в прозе, и в стихах)
Написаны и преданы тисненью
Не по его внушенью!"
15,"Сияет солнце, воды блещут,
На всем улыбка, жизнь во всем,
Деревья радостно трепещут,
Купаясь в небе голубом.

Поют деревья, блещут воды,
Любовью воздух растворен,
И мир, цветущий мир природы,
Избытком жизни упоен.

Но и в избытке упоенья
Нет упоения сильней
Одной улыбки умиленья
Измученной души твоей..."
16,"Знаю сам, что я зол,
И порочен, и слаб;
Что постыдных страстей
Я бессмысленный раб.
Знаю сам, что небес
Приговор справедлив,
На мученье и казнь
Бедняка осудив.
Но безжалостный рок
Не хочу умолять,
В страхе вечном пред ним
Не могу трепетать...
Кто-то создал меня,
Жажду счастья вложил, -
Чтоб достигнуть его,
Нет ни воли, ни сил.
И владычной рукой
В океан бытия
Грозной бури во власть
Кто-то бросил меня.
И бог весть для чего
Мне томиться велел,
Скуку, холод и мрак
Мне назначив в удел.
Нестерпима надежд
И сомнений борьба...
Уничтожь ты меня,
Если нужно, судьба!
Уничтожь! Но, молю,
Поскорей, поскорей,
Чтоб на плахе не ждать
Под секирой твоей!..
""Ты не жил, не страдал, -
Говорят мне в ответ, -
Не видав, мудрено
Разгадать божий свет.
Ты с тоскою своей,
Бедный отрок, смешон;
Самомнения полн
Твой ребяческий стон.
Твоя скорбь - только тень,
А гроза - впереди...
Торопиться к чему?
Подожди, подожди...""
Не поймете вовек,
Мудрецы-старики,
Этой ранней борьбы,
Этой юной тоски.
Не откроет ваш взор
Тайной язвы души,
Что больнее горит
В одинокой тиши.
"
17,"Печальный день... В душе уныло...
Один брожу по лесу я.
Безмолвен ум, и слабы силы...
Пойду и сяду у ручья...

Там я любил глядеть когда-то,
Как струйки чистые блестят,
Как вдалеке лучи заката
Верхи деревьев золотят.
Там всё приволье и свобода,
Там всюду жизнь ключом кипит,
И, верно, вольная природа
Мой ум усталый оживит.
Но и ручей, когда-то милый,
Сегодня чужд душе моей.
Мне веет холодом могилы
И от лесов, и от полей...
Здесь всё кругом полно отравой,
И только чудится лишь мне,
Что надо мной орел двуглавый
Парит в туманной вышине."
18,"О сонмы Нимф! струите токи слез,
Лишился бор гостеприимной тени!
Амуров рой! столетний дуб изчез!
Не стало вам его прохладной сени!
Не внемлю я пернатых громкий хор,
Дубравы сей гостей всегда веселых,
И странника напрасно ищет взор
Пристанища в сих рощах опустелых.
Вотще сюда прекрасная спешит,
На память дни утех своих приводит:
Убежища привычного не зрит;
Безмолвствует, вздыхает и — проходит!
Пускай Зевес, ударив в облаках,
Страшит тебя, жестокий разрушитель!
Есть мощный Лар, присутственный в полях;
Ему и сад и огород обитель.
Он царствует, сидящий на горах,
И пастырей всегдашний покровитель.
Велит — и пчёл покроет шумный рой
И юный цвет и стебль в дубраве новый.
Когда ж блеснёт луч месяца златой,
Не дремлет он, благотворит готовый,
Не престаёт Зефиров преклонять,
Чтобы, птенцов где скрыты колыбели,
С прохладой им сень зыбкую качать,
Не любит он, чтоб листья пожелтели,
Когда ещё луч зеленью блестит,
И чтоб цветы пастушки затоптали!
Сей самый Лар тебе да отомстит!
И сих лесов, убежища печали,
Быв отчужден игривый ветерок,
Красы твоей любовь умчит с собою,
Как прежде он срывал в глуши листок
Дубравы сей, поруганной тобою."
19,"Ты на закатном небосклоне
Былых, торжественных времен,
Как исполин стоишь, Антоний,
Как яркий, незабвенный сон.

Боролись за народ трибуны
И императоры - за власть,
Но ты, прекрасный, вечно юный,
Один алтарь поставил - страсть!

Победный лавр, и скиптр вселенной,
И ратей пролитую кровь
Ты бросил на весы, надменный, -
И перевесила любовь!

Когда вершились судьбы мира
Среди вспененных боем струй, -
Венец и пурпур триумвира
Ты променял на поцелуй.

Когда одна черта делила
В веках величье и позор, -
Ты повернул свое кормило,
Чтоб раз взглянуть в желанный взор.

Как нимб, Любовь, твое сиянье
Над всеми, кто погиб, любя!
Блажен, кто ведал посмеянье,
И стыд, и гибель - за тебя!

О, дай мне жребий тот же вынуть,
И в час, когда не кончен бой,
Как беглецу, корабль свой кинуть
Вслед за египетской кормой!"
20,"Сквозь лазурный сумрак ночи
Альпы снежные глядят;
Помертвелые их очи
Льдистым ужасом разят.
Властью некой обаянны,
До восшествия Зари,
Дремлют, грозны и туманны,
Словно падшие цари!..

Но Восток лишь заалеет,
Чарам гибельным конец —
Первый в небе просветлеет
Брата старшего венец.
И с главы большого брата
На меньших бежит струя,
И блестит в венцах из злата
Вся воскресшая семья!.."
21,"В моей жизни недолгой, миледи,
Я играл уже столько комедий,
Что сбиваюся в чувствах моих

И не знаю, где точно страдаю,
Где страдальца лишь только играю,
Забавляя иль муча других.

Так, по прихоти вольной желаний,
Я являлся вам, полон страданий,
Полон ревностью, полон тоской...

И как я от души лицемерил,
Вы так верили мне, что поверил
Я и сам, увлекаясь игрой.

Но теперь, как друг другу мы оба
Надоели, я с вами до гроба
Без тоски распрощаться готов.

Только всё же нельзя ль без прощанья!
Я боюсь, что при новом свиданьи
Я спаясничать вздумаю вновь...

Да, пожалуй, себя и уверю,
Что я сделал большую потерю,
Потерял вашу, леди, любовь."
22,"В выси миры летят стремглав к мирам. 
Вот, сбросив цепь, мятежная комета 
Несет пожар, пугая здесь и там, 
Браздой земле, хвостом грозя звездам... 
И, захватя как рыб в свои тенета, 
И солнце жаркое влечет миры, 
Чтоб их пожрать в морях огня безбрежных... 
И эти все воздушные шары, 
Завихряся в кружениях мятежных, 
Бессмысленно, как глупые стада, 
Бегут, не ведая, отколь, куда 
И где предел их бега, оборота?.."
23,"Расцветайте, расцветающие,
Увядайте, увядающие,
Догорай, объятое огнем,-
Мы спокойны, не желающие,
Лучших дней не ожидающие,
Жизнь и смерть равно встречающие
С отуманенным лицом."
24,"Давно стараюсь, и напрасно,
Поработить себя уму.
Смиряться сердце не согласно,
Нет утоления ему.

А было время,— простодушно,
Хоть и нелепо, жизнь текла,
И сердцу вольному послушна
Мысль раболепная была.

Ты в тайне зрела, возрастала,
Ты извивалась, как змея,—
О мысль моя, ты побывала
На всех просторах бытия.

И чем меня ты обольстила?
К чему меня ты увлекла?
Ты ничего мне не открыла
И много, много отняла.

Восходит солнце, как и прежде,
И светит нежная луна,
И обаятельной надежде
Душа бессмертная верна.

И ясен путь мне, путь мой правый,
Я не могу с него свернуть,—
Но неустанно ум лукавый
Хулит единый правый путь.

О, если б бурным дуновеньем
Его коварство разнесло
И всепобедным вдохновеньем
Грозу внезапную зажгло!

О, если б огненные крылья!
О, если б в буйстве бытия,
Шипя от злобы и бессилья,
Сгорела хитрая змея!"
25,"Танцуй торжественней, пророк,
Воспой Кудесному эксцессы,
Воспламеняющим экспрессом
Экзальтированных сорок.
Проснется Мир на лире мира,
Венок оденет Ниобей, -
Друг, молодой луной вампира
Себя собою не убей.
Волнуй толпу, зови к волне,
Качай качель, качель экстазы, -
Сверкнут рубины и топазы,
Как привиденья в лунном льне.
Мечта звенит опушкой леса,
Околокольченным Венцом.
Душа испанской догарессы
В Тебе буянится ключом!"
26,"Сказали раз царю, что наконец
Мятежный вождь, Риэго, был удавлен.
""Я очень рад, - сказал усердный льстец, -
От одного мерзавца мир избавлен"".
Все смолкнули, все потупили взор,
Всех рассмешил проворный приговор.
Риэго был пред Фердинандом грешен,
Согласен я. Но он за то повешен.
Пристойно ли, скажите, сгоряча
Ругаться нам над жертвой палача?
Сам государь такого доброхотства
Не захотел улыбкой наградить:
Льстецы, льстецы! старайтесь сохранить
И в подлости осанку благородства.
"
27,"Паруса золотых куполов, 
Мачты древних причудливых башен, 
Дремлет быль ураганных веков. 
Ты плывешь, кумачовым сияньем окрашен, 
Осененный грядой парусов. 
И плывут над тобой облака, 
Словно дальние гости с поклоном, 
Чтоб упиться твоим чудодейный звоном, 
Над тобою плывут облака. 
Нагруженный сокровищем сказочных цен -- 
Бриллиантами слез и рубинами крови, 
Ты купаешься в зареве пен, 
Полон мудрости предков и солнечной нови, 
Опоясанный панцирем стен. 
Ленин, мудрый провидец пилот, 
Смотрит зорко прищуренным оком 
На игру расплясавшихся вод, 
И числит заветные сроки. 
А даль величаво цветет. 
И радио-птицы летят и летят из открытых бойниц 
За моря, океаны и горы, 
Где братья в оковах, где ржавые тяжки затворы, 
Где лица опущены ниц, 
Там яростней клекот огонь источающих птиц. 
И падают, падают слов метеоры-ракеты: 
-- Ловите, ловите дары непомерных щедрот, 
Кометы посланий и звездные строки декретов, 
Восстаньте, спешите, вас Кремль Краснозвонный зовет. 
Израненной Индии стоны 
И вопли несметных раскосых рабов 
Гнездятся под сенью твоих куполов, 
Где молнии бурь начертали вселенной законы. 
О, Новая Мекка, О, Ноев ковчег 
Бушующих дней мирового потопа, 
В крови и смятеньи Восток и Европа, 
Но смел и уверен твой огненный бег. 
Плыви, о, плыви, златокрылый корабль-исполин, 
Уж голубь несет долгожданную ветку спасенья, 
И колокол древнего веча с твоих нерушимых вершин 
Вещает народам, что близится день Воскресенья... 
Паруса золотых куполов, 
Мачты причудливых башен, 
Ты плывешь, кумачевым сияньем окрашен, 
К берегам величавых веков. "
28,"Людишки чахлые,- почти любой с изъяном!
Одно им нужно: жить и не тужить!
Тут мальчик-с-пальчик был бы великаном,
Когда б их по уму и силе чувств сравнить.
А между тем всё то, что тешит взоры,
Всё это держится усильями подпор:
Не дом стоит - стоят его подпоры;
Его прошедшее - насмешка и позор!
И может это всё в одно мгновенье сгинуть,
Упорно держится бог ведает на чем!
Не молотом хватить,- на биржу вексель кинуть -
И он развалится, блестящий старый дом..."
29,"Дремлют полною луной
Озаренные поляны.
Бродят белые туманы
Над болотною травой.
      
Мертвых веток черный ворох,
Бледных листьев слабый лепет,
Каждый вздох и каждый шорох
Пробуждают в сердце трепет.
      
Ночь под ярким блеском лунным
Холодеющая спит,
И аккордом тихоструйным
Ветерок не пролетит.
      
Неразгаданная тайна -
В чащах леса... И повсюду
Тишина - необычайна.
Верю сказке, верю чуду...
"
30,"Она давно прошла, и нет уже тех глаз,
И той улыбки нет, что молча выражали
Страданье - тень любви, и мысли - тень печали.
Но красоту ее Боровиковский спас.
Так часть души ее от нас не улетела,
И будет этот взгляд и эта прелесть тела
К ней равнодушное потомство привлекать,
Уча его любить, страдать, прощать, молчать."
31,"О звени, старый вальс, о звени же, звени 
Про галантно-жеманные сцены, 
Про былые, давно отзвеневшие дни, 
Про былую любовь и измены!

С потемневших курантов упал тихий звон, 
Ночь, колдуя, рассыпала чары... 
И скользит в белом вальсе у белых колонн 
Одинокая белая пара...

              — О, вальс, звени —
              Про былые дни!

И бесшумно они по паркету скользят... 
Но вглядитесь в лицо кавалера: 
Как-то странны его и лицо, и наряд, 
И лицо, и наряд, и манеры!..

Но вглядитесь в нее: очень странна она... 
Неподвижно упали ресницы,
Взор застыл... И она — слишком, слишком бледна, 
Словно вышла на вальс из гробницы!..

              — О, вальс, звени —
              Про былые дни!

И белеют они в странном вальсе своем 
Меж колонн в белом призрачном зале... 
И, услышавши крик петуха за окном, 
Вдруг растаяли в тихой печали...

О, звени, старый вальс, сквозь назойливый гам 
Наших дней обезличенно-серых: 
О надменных плечах белых пудреных дам, 
О затянутых в шелк кавалерах!..

              — О, вальс, звени — 
              Про былые дни!"
32,"Закрыв глаза, я вижу сон,
Там все не так, там все другое,
Иным исполнен небосклон,
Иное, глубже дно морское.

Я прохожу по тем местам,
Где никогда я не бываю,
Но сонно помню — был уж там,
Иду по туче прямо к краю.

Рожденье молний вижу я,
Преображенье молний в звуки,
И вновь любимая моя
Ко мне протягивает руки.

Я понимаю, почему
В ее глазах такая мука,
Мне видно, только одному,
Что значит самый всклик — разлука.

В желанном платье, что на ней,
В одной, едва заметной, складке
Вся тайна мира, сказка дней,
Невыразимые загадки.

Я в ярком свете подхожу,
Сейчас исчезнет вся забота.
Но бесконечную межу
Передо мной раскинул кто-то.

Желанной нет. Безбрежность нив.
Лишь василек один, мерцая,
Поет чрез золотой разлив
Там, где была моя родная."
33,"Ты хочешь, требуешь, мой друг, 
Чтоб я тебя привел поэтов наших в круг 
Или творений их в картинну галерею. 
Изволь -- ослушаться не смею. 
Итак, войдем. Смотри на этот басен ряд -- 
Везде их главное достоинство наряд: 
Как прост, как чист, с каким невидимым искусством 
На первых с головы до ног! 
Не кажется ль, что сам трудился вкуса бог 
При туалете их: что всё в нем дышит чувством, 
Рассудком, скромностью, невинностью, умом?.. 
Не представляешь ли себе, мой друг, весталок? 
А имя автора? -- Прочти, и взглянь потом 
На басни ж; сих наряд -- наряд провинциалок: 
С прекрасной шалью, дорогой, 
С богатым кружевом, цвет платья иль покрой 
Отменно странен, неприятен! 
Как будто бы для них закон был непонятен 
Того, что знатоки эстетикой зовут! 
Кто сочинитель? -- Двух увидишь имя тут. 
Посмотрим далее: вот басни щеголихи! 
Одеты ловко так, так гладко, как франтихи,-- 
Но что ж? 
Костюм их, несмотря на пышность, мил, пригож. 
Вот подпись автора! Теперь прошу скорее! 
На притчи бросить взгляд. 
Скажи, мой друг, каков наряд? -- 
Ох! неопрятнее, древнее 
И безобразнее ничто не может быть! 
Не станем же при них и времени губить. 
А если имя знать ты их творца желаешь -- 
В шести строках его титула начитаешь. 
Прочел? Пойдем вперед. Вот здесь 
На разные предметы оды. 
""Какая, -- восклицаешь, -- смесь! 
Какое множество! и больше всё уроды"". 
На лучшие, мой друг, вниманье обрати; 
Их мало -- но зато какие краски, тени! 
Какая кисть и дух! И можно ли найти 
Им равные? Писал их гений! 
Вот имя -- прочитай. Другое же под сим 
Названьем -- то есть од -- названьем громогласным -- 
Сумбур, галиматья! Поклон отдавши им -- 
Таланта мнимого творениям несчастным,-- 
Посмотрим на сие собранье эпиграмм, 
Сатир и песен. Всё еще так свежи, новы, 
В цветущем образе являются глазам! 
Но снимем легкие покровы 
И всмотримся красот в блестящие черты: 
Конечно, красоты! 
Но сколь опасные!.. Под солью, остротою 
Напрасно будешь ты искать, мой друг, того, 
Что в юной красоте милее нам всего: 
Чувствительность души с сердечной добротою, 
Которых вовсе нет (как жаль!) в твореньях сих. 
Вот имя автора (как жаль!) младого их, 
Но вот другой -- еще моложе, 
И пишет, выключив сатиры, в роде том же, 
Но сколь различен их моральный характер! 
Он виден в авторе, подобно как в портрете. 
И новый этого пред нами здесь пример: 
В последнем сем поэте 
Нет с первым сходного по нравам ничего, 
Хоть по стихам совместник он его. 
Еще любезный вот поэт: его посланья 
Достойны взора граций, муз! 
Ума с шутливостью им нравится союз: 
Я вижу в нем печать прямого дарованья! 
Прилежно рассмотри его неложный блеск... 
Я слышу рук твоих при каждом слове плеск -- 
И не дивлюсь тому. -- Но время удалиться 
Из галереи сей* и взять уже покой. 
Захочешь -- и сюда мы можем возвратиться: 
Поэмы, драмы нас займут еще собой, 
И всё, что только там ни встретят наши взгляды,-- 
От мадригала до баллады. 
Но мы особенно вниманье посвятим 
Стихотворениям прелестным, 
Доселе нашему Парнасу неизвестным, 
Которые огнем божественным своим 
В грудь умиление с восторгом проливают 
И слезы нежные из сердца извлекают... 
Полюбишь идеал изящного душой, 
И скажешь: вот поэт, природы друг -- и мой!

"
34,"Ищите новые пути!
Стал тесен мир! Его оковы
Неумолимы и суровы, -
Где ж вечным розам зацвести?
Ищите новые пути!

Мечты исчерпаны до дна,
Иссяк источник вдохновенья,
Но близко, близко возрожденье, -
Иная жизнь иного сна!
Мечты исчерпаны до дна!

Но есть любовь, но есть сердца...
Велик и вечен храм искусства.
Жрецы неведомого чувства
К нему нисходят без конца.
И есть любовь, и есть сердца!

Мы не в пустыне, не одни,
Дорог неведомых есть много,
Как звезд на небе, дум у бога,
Как снов в загадочной тени.
Мы не в пустыне, не одни!.."
35,"Месяц вешний, ты ли это?
Ты, предвестник близкий лета,
Месяц песен соловья?
Май ли, жалуясь украдкой,
Ревматизмом, лихорадкой
В лазарете встретил я?

Скучно! Вечер темный длится -
Словно зимний! Печь дымится,
Крупный дождь в окно стучит;
Все попрятались от стужи,
Только слышно, как чрез лужи
Сонный ванька дребезжит.

А в краю, где протекали
Без забот и без печали
Первой юности года,
Потухает луч заката
И зажглась во тьме богато
Ночи мирная звезда.

Вдоль околицы мелькая,
Поселян толпа густая
С поля тянется домой;
Зеленеет пышно нива,
И под липою стыдливо
Зреет ландыш молодой.
"
36,"Давно вода в мехах иссякла,
Но, как собака, не умру:
Я в память дивного Геракла
Сперва отдам себя костру.

И пусть, пылая, жалят сучья,
Грозит чернеющий Эреб,
Какое странное созвучье
У двух враждующих судеб!

Он был героем, я — бродягой,
Он — полубог, — полузверь,
Но с одинаковой отвагой
Стучим мы в замкнутую дверь.

Пред смертью все, Терсит и Гектор,
Равно ничтожны и славны,
Я также выпью сладкий нектар
В полях лазоревой страны"
